"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"BICTEGRAVIR / EMTRICITABINE / TENOFOVIR 30/120/15 mg (Biktarvy)";"Comprimé";"J05AR20";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"RCP";;;"Non";"A prendre avec ou sans nourriture. Eviter le jus de pamplemousse.";"Gilead 3-04-2025 : le fait d’écraser les comprimés de Biktarvy® 30 mg/120 mg/15 mg et de les disperser dans un milieu liquide n’a pas été étudié et n’est pas recommandé.";"03/04/2025";
"BICTEGRAVIR / EMTRICITABINE / TENOFOVIR 50/200/25 mg (Biktarvy)";"Comprimé";"J05AR20";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";"G";"NE";"RCP";;"E, V";"Non";"A prendre avec ou sans nourriture. Eviter le jus de pamplemousse.";"Gilead 25-05-2025 : Seul le dosage Biktarvy® 50 mg/200 mg/25 mg (qui n’est pas exclusivement adulte) a fait l’objet d’une étude de son administration en écrasant les comprimés ou en les dispersant dans un milieu liquide par rapport à un comprimé entier.";"01/04/2025";
"BIPERIDENE LP 4 mg (Akineton LP)";"Comprimé LP";"N04AA02";"Anticholinergiques";"Amines tertiaires";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin.";"DB Pharma 21-02-2022 : pas d'informations complémentaires au RCP";"18/04/2023";
"BISACODYL 5 mg (Contalax, Dulcolax)";"Comprimé GR";"A06AB02";"Laxatifs";"Laxatifs de contact";;"NE";"RCP";;;"Suppositoires";"PA irritant.";;"18/04/2023";
"BISOPROLOL / HYDROCHLOROTHIAZIDE 2,5/6,25 ; 5/6,25 et 10/6,25 mg (Lodoz)";"Comprimé";"C07BB07";"Bêtabloquants et thiazidiques";"Bêta-bloquants sélectifs et autres diurétiques";"G";"NE";"RCP";;;"Non";"A prendre le matin.";;"18/04/2023";
"BISOPROLOL 1,25 ; 2,5 ; 3,75 ; 5 ; 7,5 et 10 mg (Cardensiel, Detensiel)";"Comprimé ou comprimé sécable";"C07AB07";"Bêta-bloquants";"Bêta-bloquants sélectifs";"G";"NE";"RCP";;"E, V";"Non";"A prendre le matin.";;"18/04/2023";
"BOSENTAN 62,5 et 125 mg (Tracleer)";"Comprimé";"C02KX01";"Autres antihypertenseurs";"Antihypertenseurs pour l'hypertension artérielle pulmonaire";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Comprimés dispersibles";;"Janssen 09-03-2022 : écrasement déconseillé car pas d'étude";"19/09/2023";
"BROMAZEPAM 1,5 et 6 mg (Lexomil)";"Comprimé ou comprimé sécable";"N05BA08";"Anxiolytiques";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";;;"Non";;"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BROMOCRIPTINE 2,5 mg (Parlodel)";"Comprimé sécable";"N04BC01";"Dopaminergiques";"Agonistes dopaminergiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas pour améliorer la tolérance digestive. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BROMOCRIPTINE 5 et 10 mg (Parlodel)";"Gélule";"N04BC01";"Dopaminergiques";"Agonistes dopaminergiques";;"NO";"Réponse laboratoire";;;"Non";"A prendre pendant les repas pour améliorer la tolérance digestive. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BUDESONIDE 3 et 9 mg (Entocort, Mikicort)";"Gélule GR";"A07EA06";"Anti-inflammatoires intestinaux";"Corticostéroïdes locaux";;"NO";"RCP";;;"Non";"A prendre en une seule prise le matin";;"19/09/2023";
"BUMETANIDE 1 et 5 mg (Burinex)";"Comprimé sécable";"C03CA02";"Diurétiques de l'anse";"Sulfamides non associés";"G";"E";"Réponse laboratoire";;"E, V";"Non";;"Alloga 21-04-2022 : écrasement possible si administration immédiate. Photosensible, peu soluble et légèrement amer.";"18/04/2023";
"BUSULFAN 2 mg (Myleran)";"Comprimé";"L01AB01";"Alkylants";"Sulfonates d'alkyle";;"NE";"Réponse laboratoire";;;"Non";"PA cytotoxique. Manipuler les comprimés avec précaution et éviter autant que possible un contact prolongé avec la main.";"ASPEN Pharma 22-02-2022 : des protocoles existent pour réaliser un sirop à partir des comprimés, en suivant les précautions d'usage de manipulation des produits cytotoxiques.";"18/04/2023";
"CAFEINE / ERGOTAMINE 100/1 mg (Gynergene cafeine)";"Comprimé";"N02CA52";"Antimigraineux";"Alcaloïdes de l'ergot de seigle";;"?";;;;"Non";"Eviter le jus de pamplemousse.";"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"CALCITRIOL 0,25 µg (Rocaltrol)";"Capsule molle";"A11CC04";"Vitamines A et D, y compris en association";"Vitamine D et analogues";;"NO";"RCP";;;"Non";;;"18/04/2023";
"CALCIUM / CHOLECALCIFEROL 600 mg / 400 UI (Caltrate vitamine D3)";"Comprimé";"A12AX";"Calcium";"Calcium en association avec vitamine D et/ou d'autres médicaments";;"E";"Réponse laboratoire";;"E";"Comprimés effervescents, dispersibles, à sucer ou à croquer, poudre orale";"A prendre à distance des repas";"GSK 15-02-2022 : écrasement possible si besoin";"18/04/2023";
"CALCIUM CARBONATE 600 mg (Caltrate)";"Comprimé";"A12AA04";"Calcium";"Calcium";;"E";"Réponse laboratoire";;"E";"Comprimés effervescents, dispersibles, à sucer ou à croquer, poudre orale";"A prendre à distance des repas";"GSK 15-02-2022 : écrasement possible si besoin";"18/04/2023";
"CANDESARTAN / HYDROCHLOROTHIAZIDE 8/12,5 et 16/12,5 mg (Hytacand)";"Comprimé";"C09DA06";"Antagonistes de l'angiotensine II en associations";"Antagonistes de l'angiotensine II et diurétiques";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence à heure fixe.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CANDESARTAN 4, 8, 16 et 32 mg (Atacand)";"Comprimé sécable";"C09CA06";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CAPECITABINE 150 et 500 mg (Xeloda)";"Comprimé";"L01BC06";"Antimétabolites";"Analogues de la pyrimidine";"G";"NE";"RCP";;;"Non";"PA cytotoxique. A prendre 30 min après les repas.";"Roche 21-02-2022 : écrasement déconseillé, risque d'effets indésirables (cf RCP)";"18/04/2023";
"CAPTOPRIL / HYDROCHLOROTHIAZIDE 50/25 mg (génériques)";"Comprimé sécable";"C09BA01";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le matin ou à heure fixe.";"Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CAPTOPRIL 25 et 50 mg (génériques)";"Comprimé sécable";"C09AA01";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"E";"Réponse laboratoire";;"E";"Solution buvable";"A prendre de préférence le matin ou à heure fixe.";"Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.";"18/04/2023";
"CARBAMAZEPINE 200 mg (Tegretol)";"Comprimé sécable";"N03AF01";"Antiépileptiques";"Dérivés du carboxamide";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf RCP";"18/04/2023";
"CARBAMAZEPINE LP 200 et 400 mg (Tegretol LP)";"Comprimé sécable LP";"N03AF01";"Antiépileptiques";"Dérivés du carboxamide";;"NE";"RCP";;;"? Non LP ?
Suspension buvable";"Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf RCP";"18/04/2023";
"CARBIMAZOLE 5 et 20 mg (Neo-mercazole)";"Comprimé";"H03BB01";"Antithyroïdiens";"Dérivés imidazolés soufrés";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";;"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"CARVEDILOL 6,25 ; 12,5 et 25 mg (Kredex)";"Comprimé sécable";"C07AG02";"Bêtabloquants";"Alpha et bêta-bloquants";;"NE";"Réponse laboratoire";;;"Non";"A prendre à heure fixe, au moment des repas pour améliorer la tolérance.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CEFALEXINE 500 et 1000 mg (Keforal)";"Comprimé";"J01DA01";"Autres antibactériens bêta-lactamines";"Céphalosporines de première génération";"G";"NE";"Réponse laboratoire";;;"Suspension buvable";"A prendre de préférence en dehors des repas. Ne pas prendre avec du lait.";"Sciencex 07-04-2022 : écrasement déconseillé car pas d'étude. Goût désagréable.";"18/04/2023";
"CEFIXIME 200 mg (Oroken)";"Comprimé";"J01DD08";"Autres antibactériens bêta-lactamines";"Céphalosporines de troisième génération";;"NE";"Réponse laboratoire";;;"Poudre pour suspension buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"CEFPODOXIME 100 mg (Orelox)";"Comprimé";"J01DD13";"Autres antibactériens bêta-lactamines";"Céphalosporines de troisième génération";"G";"NE";"Réponse laboratoire";;;"Poudre pour solution buvable";"A prendre pendant les repas";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"CEFUROXIME 125, 250 et 500 mg (Zinnat)";"Comprimé";"J01DC02";"Autres antibactériens bêta-lactamines";"Céphalosporines de deuxième génération";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Granulés pour suspension buvable";"A prendre après les repas pour améliorer l'absorption.";;"18/04/2023";
"CELECOXIB 100 et 200 mg (Celebrex)";"Gélule";"M01AH01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Coxibs";;"O";"RCP";;"C, Y";"Non";"A prendre de préférence à heure fixe. Peut être vidé sur de la nourriture semi-solide (compote, yaourt, purée) et avalé immédiatement avec un verre d’eau.";;"18/04/2023";
"CELIPROLOL 200 mg (Celectol)";"Comprimé";"C07AB08";"Bêta-bloquants";"Bêta-bloquants sélectifs";;"NE";"Notice patient";;;"Non";"A prendre de préférence de matin, ? 30 min avant ou ? 2h après les repas.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CETIRIZINE 10 mg (Zyrtecset)";"Comprimé sécable";"R06AE07";"Antihistaminiques à usage systémique";"Dérivés de la pipérazine";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes, comprimés à sucer";;"UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CHLORAMBUCIL 2 mg (Chloraminophène)";"Gélule";"L01AA02";"Alkylants";"Analogues des moutardes azotées ";;"NO";"Notice patient";;;"Non";"A prendre à jeun. PA cytotoxique.";"Laboratoires Techni-pharma 08-03-2022 : gélule non ouvrable";"18/04/2023";
"CHLOROQUINE 100 mg (Nivaquine)";"Comprimé sécable";"P01BA01";"Antipaludéens";"Aminoquinoléïnes";"G";"E";"RCP";;"E, J, L, C, Y";"Non";"A prendre en fin de repas, de préférence le matin ou le midi. Mélangeable à un yaourt ou un liquide sucré.";"Sanofi 23-03-2022 : cf. RCP";"18/04/2023";
"CHLORPROMAZINE 25 et 100 mg (Largactil)";"Comprimé sécable";"N05AA01";"Antipsychotiques";"Phénothiazines à chaîne latérale aliphatique";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"CHONDROITINE 400 mg (Chondrosulf)";"Gélule";"M01AX25";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Autres anti-inflammatoires antirhumatismaux non stéroïdiens";;"NO";"RCP";;;"Gel oral";"A prendre de préférence pendant les repas.";;"18/04/2023";
"CIBENZOLINE 130 mg (Exacor)";"Comprimé sécable";"C01BG07";"Antiarythmiques de classe I et III";"Autres antiarythmiques de classe I et III";;"NE";"Réponse laboratoire";;;"Non";;"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données";"18/04/2023";
"CICLOSPORINE 10, 25, 50 et 100 mg (Neoral)";"Capsule molle";"L04AD01";"Immunosuppresseurs";"Inhibiteurs de la calcineurine";;"NO";"RCP";;;"Solution buvable";"A prendre à heure fixe. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"CINACALCET 30, 60 et 90 mg (Mimpara)";"Comprimé";"H05BX01";"Antiparathyroïdiens";"Autres antiparathyroïdiens";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Granulés en gélule ouvrable";"A prendre pendant ou en fin de repas.";;"18/04/2023";
"CIPROFIBRATE 100 mg (Lipanor)";"Gélule";"C10AB08";"Agents réduisants les lipides sériques, non associés";"Fibrates";;"NO";"Réponse laboratoire";;;"Non";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"CIPROFLOXACINE 250, 500 et 750 mg (Ciflox)";"Comprimé sécable";"J01MA02";"Quinolones antibactériennes";"Fluoroquinolones";"G";"NE";"RCP";;;"Granulés pour suspension buvable";"Ne pas prendre avec des produits laitiers ou boissons enrichies en calcium.";"Bayer 03-08-2020 : broyage déconseillé car goût amer. Peut être utilisé en SNG.";"18/04/2023";
"CITALOPRAM 20 mg (Seropram)";"Comprimé sécable";"N06AB04";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Solution buvable";"Goût amer et photosensibilité.";"Lundbeck 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CLARITHROMYCINE 250 et 500 mg (Zeclar)";"Comprimé";"J01FA09";"Macrolides, lincosamides et streptogramines";"Macrolides";"G";"NE";"Réponse laboratoire";;;"Granulés pour suspension buvable";;"Viatris 17-02-2023 : nous recommandons d'utiliser le comprimé dans sa forme galénique initiale.";"18/04/2023";
"CLARITHROMYCINE LM 500 mg (Génériques)";"Comprimé LM";"J01FA09";"Macrolides, lincosamides et streptogramines";"Macrolides";"G";"NE";"Réponse laboratoire";;;"Pas d'équivalent LM";"A prendre de préférence pendant les repas.";"Arrow 15-03-2022 : augmentation du risque de survenue candidose, glossite ou stomatite en cas d'écrasement.";"18/04/2023";
"CLINDAMYCINE 75, 150 et 300 mg (Dalacine)";"Gélule";"J01FF01";"Macrolides, lincosamides et streptogramines";"Lincosamides";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Non";"Ne convient pas aux enfants qui ne peuvent pas avaler les gélules entières.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CLOBAZAM 10 et 20 mg (Urbanyl)";"Comprimé ou comprimé sécable";"N05BA09";"Anxiolytiques";"Dérivés des benzodiazépines";;"E";"Notice patient";;"C";"Suspension buvable";"Peut être écrasé dans une compote de pommes.";;"18/04/2023";
"CLOBAZAM 5 mg (Urbanyl)";"Gélule";"N05BA09";"Anxiolytiques";"Dérivés des benzodiazépines";;"NO";"Réponse laboratoire";;;"Suspension buvable, comprimés écrasables";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"05/02/2024";
"CLOFAZIMINE 50 et 100 mg (Lamprene)";"Capsule molle";"J04BA01";"Antilépreux";"Antilépreux";;"NO";"Galénique";;;"Non";"A prendre au cours des repas ou avec du lait.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"CLOMIPRAMINE 10, 25 et 75 mg (Anafranil)";"Comprimé ou comprimé sécable";"N06AA04";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Alfasigma 08-04-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CLONAZEPAM 2 mg (Rivotril)";"Comprimé sécable";"N03AE01";"Antiépileptiques";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable en gouttes";;"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"CLONIDINE 0,15 mg (Catapressan)";"Comprimé sécable";"C02AC01";"Antiadrénergiques agissant sur le système nerveux central";"Agonistes des récepteurs de l'imidazoline";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"CSP 21-02-2022 : écrasement déconseillé car pas d'étude. Goût amer, PA soluble dans l'eau et l'alcool.";"18/04/2023";
"CLOPIDOGREL 75 et 300 mg (Plavix)";"Comprimé";"B01AC04";"Antithrombotiques";"Inhibiteurs de l'agrégation plaquettaire sauf héparines";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"CLORAZEPATE 5, 10 et 20 mg (Tranxene)";"Gélule";"N05BA05";"Anxiolytiques";"Dérivés des benzodiazépines";;"NO";"Réponse laboratoire";;;"Non";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"CLOXACILLINE 500 mg (Orbenine)";"Gélule";"J01CF02";"Antibactériens bêta-lactamines et pénicillines";"Pénicillines résistantes aux bêta-lactamases";"G";"NO";"RCP";;;"Non";"A prendre de préférence 30 min avant les repas.";"Astellas Pharma 14-03-2022 : cf. RCP";"18/04/2023";
"CLOZAPINE 25 et 100 mg (Leponex)";"Comprimé sécable";"N05AH02";"Antipsychotiques";"Diazépines, oxazépines, thiazépines et oxépines";;"NE";"Réponse laboratoire";;;"Non";;"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"COBICISTAT / ELVITEGRAVIR / EMTRICITABINE / TENOFOVIR 150/150/200/245 mg (Stribild)";"Comprimé";"J05AR09";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre pendant les repas.";"Gilead 02-03-2022 : écrasement et fractionnement déconseillé car pas d'étude interne, mais d'autres études ont montré une bioeq et tolérance similaire après écrasement.";"18/04/2023";
"CODEINE / EXTRAIT DE GRINDELIA / SULFOGAÏACOL 25/20/100 mg (Neo-codion)";"Comprimé";"R05DA04";"Antitussifs, sauf associations avec des expectorants";"Alcaloïdes de l'opium et dérivés";"G";"NE";"Réponse laboratoire";;;"Sirop";;"Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"COLCHICINE / OPIUM / TIEMONIUM 1/12,5/50 mg (Colchimax)";"Comprimé sécable";"M04AC01";"Médicaments contre la goutte";"Médicaments sans effet sur le métabolisme de l'acide urique";;"NE";"Réponse laboratoire";;;"Non";"A prendre au moment des repas. Eviter le jus de pamplemousse.";"Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.";"26/04/2023";
"COLCHICINE 1 mg (Colchicine opocalcium)";"Comprimé";"M04AC01";"Médicaments contre la goutte";"Médicaments sans effet sur le métabolisme de l'acide urique";;"NE";"Réponse laboratoire";;;"Non";" A prendre au moment des repas. Eviter le jus de pamplemousse.";"Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.";"26/04/2023";
"CYAMEMAZINE 25 et 100 mg (Tercian)";"Comprimé sécable";"N05AA06";"Antipsychotiques";"Phénothiazines à chaîne latérale aliphatique";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"CYANOCOBALAMINE 250 µg (Vitamine B12)";"Comprimé sécable";"B03BA01";"Vitamine B12 et acide folique";"Vitamine B12 (cyanocobalamine et dérivés)";;"E";"Réponse laboratoire";;"E, V";"Solution buvable";;"Substipharm 21-03-2022 : pas d'étude mais écrasement possible si administration immédiate. Photosensible et sensible à l'humidité. Peu soluble dans l'eau.";"18/04/2023";
